no,ticker,name,industry_code,industry
44,000040,KR모터스,033109,그외 기타 운송장비 제조업
45,044450,KSS해운,085001,해상 운송업
46,030210,KTB투자증권,116601,금융 지원 서비스업
47,058850,KTcs,106309,기타 정보 서비스업
48,093050,LF,031401,봉제의복 제조업
49,003550,LG,116409,기타 금융업
50,034220,LG디스플레이,032602,전자부품 제조업
51,001120,LG상사,074601,상품 중개업
52,051900,LG생활건강,032004,기타 화학제품 제조업
53,032640,LG유플러스,106102,전기 통신업
54,011070,LG이노텍,032602,전자부품 제조업
55,066570,LG전자,032604,통신 및 방송 장비 제조업
56,108670,LG하우시스,032202,플라스틱제품 제조업
57,051910,LG화학,032001,기초 화학물질 제조업
58,079550,LIG넥스원,032502,무기 및 총포탄 제조업
59,006260,LS,116409,기타 금융업
60,000680,LS네트웍스,074608,상품 종합 도매업
61,010120,LS산전,032801,"전동기, 발전기 및 전기 변환 · 공급 · 제어 장치 제조업"
62,229640,LS전선아시아,116409,기타 금융업
63,023150,MH에탄올,031101,알코올음료 제조업
64,035420,NAVER,106301,"자료처리, 호스팅, 포털 및 기타 인터넷 정보매개 서비스업"
65,181710,NHN엔터테인먼트,105802,소프트웨어 개발 및 공급업
66,005940,NH투자증권,116601,금융 지원 서비스업
67,034310,NICE,116409,기타 금융업
68,008260,NI스틸,032401,1차 철강 제조업
69,010060,OCI,032001,기초 화학물질 제조업
70,100840,S&TC,032901,일반 목적용 기계 제조업
71,064960,S&T모티브,033003,자동차 신품 부품 제조업
72,003570,S&T중공업,033003,자동차 신품 부품 제조업
73,036530,S&T홀딩스,116409,기타 금융업
74,010950,S-Oil,031902,석유 정제품 제조업
75,034120,SBS,106002,텔레비전 방송업
76,101060,SBS미디어홀딩스,116409,기타 금융업
77,004060,SG세계물산,074608,상품 종합 도매업
78,001380,SG충방,033003,자동차 신품 부품 제조업
79,002360,SH에너지화학,032001,기초 화학물질 제조업
80,009160,SIMPAC,032902,특수 목적용 기계 제조업
81,034730,SK,116409,기타 금융업
82,011790,SKC,032004,기타 화학제품 제조업
83,018670,SK가스,074607,기타 전문 도매업
84,001740,SK네트웍스,074607,기타 전문 도매업
85,006120,SK디스커버리,032005,화학섬유 제조업
