no,ticker,name,industry_code,industry
564,127710,아시아경제,106301,"자료처리, 호스팅, 포털 및 기타 인터넷 정보매개 서비스업"
565,227610,아우딘퓨쳐스,032004,기타 화학제품 제조업
566,143160,아이디스,032604,통신 및 방송 장비 제조업
567,054800,아이디스홀딩스,116409,기타 금융업
568,060570,아이리버,032605,영상 및 음향기기 제조업
569,099190,아이센스,032701,의료용 기기 제조업
570,214430,아이쓰리시스템,032602,전자부품 제조업
571,040910,아이씨디,032902,특수 목적용 기계 제조업
572,068940,아이씨케이,032602,전자부품 제조업
573,052860,아이앤씨,032601,반도체 제조업
574,069920,아이에스이커머스,074709,무점포 소매업
575,038880,아이에이,032602,전자부품 제조업
576,101390,아이엠,032602,전자부품 제조업
577,226350,아이엠텍,032602,전자부품 제조업
578,078860,아이오케이,105802,소프트웨어 개발 및 공급업
579,114810,아이원스,032902,특수 목적용 기계 제조업
580,031310,아이즈비전,074709,무점포 소매업
581,139050,아이지스시스템,106201,"컴퓨터 프로그래밍, 시스템 통합 및 관리업"
582,185490,아이진,137001,자연과학 및 공학 연구개발업
583,059100,아이컴포넌트,032602,전자부품 제조업
584,052460,아이크래프트,106201,"컴퓨터 프로그래밍, 시스템 통합 및 관리업"
585,119830,아이텍반도체,137309,"그외 기타 전문, 과학 및 기술 서비스업"
586,124500,아이티센,106201,"컴퓨터 프로그래밍, 시스템 통합 및 관리업"
587,032080,아즈텍WB,031304,"섬유제품 염색, 정리 및 마무리 가공업"
588,013310,아진산업,033003,자동차 신품 부품 제조업
589,059120,아진엑스텍,032601,반도체 제조업
590,023890,아트라스BX,032802,일차전지 및 축전지 제조업
591,067160,아프리카TV,105802,소프트웨어 개발 및 공급업
592,001540,안국약품,032102,의약품 제조업
593,053800,안랩,105802,소프트웨어 개발 및 공급업
594,065660,안트로젠,032101,기초 의약물질 및 생물학적 제제 제조업
595,106080,알비케이이엠디,032602,전자부품 제조업
596,131370,알서포트,105802,소프트웨어 개발 및 공급업
597,140670,알에스오토메이션,032602,전자부품 제조업
598,096610,알에프세미,032601,반도체 제조업
599,061040,알에프텍,032604,통신 및 방송 장비 제조업
600,148250,알엔투테크놀로지,032602,전자부품 제조업
601,196170,알테오젠,137001,자연과학 및 공학 연구개발업
602,123750,알톤스포츠,033109,그외 기타 운송장비 제조업
603,085810,알티캐스트,105802,소프트웨어 개발 및 공급업
604,117670,알파홀딩스,032601,반도체 제조업
605,196300,애니젠,032101,기초 의약물질 및 생물학적 제제 제조업
606,205500,액션스퀘어,105802,소프트웨어 개발 및 공급업
607,052790,액토즈소프트,105802,소프트웨어 개발 및 공급업
608,131400,액트,032602,전자부품 제조업
609,238090,앤디포스,032202,플라스틱제품 제조업
610,174900,앱클론,032103,의료용품 및 기타 의약 관련제품 제조업
611,255440,야스,032902,특수 목적용 기계 제조업
612,030960,양지사,031801,인쇄 및 인쇄관련 산업
613,102120,어보브반도체,032601,반도체 제조업
614,019990,에너토크,032901,일반 목적용 기계 제조업
615,025980,에머슨퍼시픽,189101,스포츠 서비스업
616,041440,에버다임,032902,특수 목적용 기계 제조업
617,038680,에스넷,106201,"컴퓨터 프로그래밍, 시스템 통합 및 관리업"
618,217480,에스디생명공학,032004,기타 화학제품 제조업
619,121890,에스디시스템,032602,전자부품 제조업
620,030270,에스마크,031301,방적 및 가공사 제조업
621,097780,에스맥,032604,통신 및 방송 장비 제조업
622,042110,에스씨디,032805,가정용 기기 제조업
623,065420,에스아이리소스,020501,석탄 광업
624,050320,에스아이티글로벌,074605,기계장비 및 관련 물품 도매업
625,103230,에스앤더블류,032901,일반 목적용 기계 제조업
626,900080,에스앤씨엔진그룹,116409,기타 금융업
